res_9,Health Care Systems,Food Access Systems,Emergency Systems,Education Systems,Financial Systems,Public Transport,Green Spaces Systems,Food and beverages,Other Systems,gross_amenity_score
8919582302bffff,,,,,,,,6,1,1.3
89194221467ffff,,,,,,,,,1,0.1
891940723b3ffff,,,,,,,,,2,0.2
89182a56157ffff,,,,,1,,,,,0.6
89182c10543ffff,,,,,1,,,1,,0.8
89194210cc3ffff,,,,,1,,,1,2,1
891942b5387ffff,,,,,1,,,,2,0.8
89194a4a60fffff,,,,,1,,,,,0.6
89194a9a3d3ffff,,,,,1,,,,,0.6
89194accbabffff,,,,1,2,,,1,1,2.3
89194ad0e5bffff,1,,,,2,,,8,1,3.9
89194ad32d7ffff,1,2,,,3,1,,7,1,6.85
89194adb547ffff,,,,,1,,,,,0.6
8919586b58bffff,,,,,1,,,1,,0.8
891959614c3ffff,,1,,,2,,,,,2.1
891959aa403ffff,1,2,,,1,,,,,3.4
891959aa573ffff,,1,,,1,,,,,1.5
891959ab053ffff,,,,,1,,,,,0.6
89195ac5527ffff,,1,,,3,,,2,2,3.3
8919723961bffff,,,,1,1,,,1,,1.6
891973358c3ffff,,,,,1,,,,2,0.8
89182844107ffff,,1,,,1,,,,,1.5
891828c00cfffff,2,4,,,1,,,10,2,8.4
891942525cbffff,,3,,,1,,,1,2,3.7
89194665033ffff,,,,,1,,,,,0.6
891948ccc8fffff,,,,1,1,,,2,3,2.1
89194adaedbffff,,,,,1,,,,2,0.8
891951b542bffff,,1,,,1,,,1,1,1.8
891951b7427ffff,,4,,,3,,,6,1,6.7
8919581830fffff,1,,,,1,,2,7,9,5.46
89195860aafffff,,,,,1,,,1,1,0.9
89195d2e08bffff,,,,,1,,,3,,1.2
89195d3822fffff,2,,,,2,,,2,,3.6
89197665a0fffff,3,3,,,1,,,5,1,7.4
891909ad277ffff,,,,,,,,1,,0.2
8919407242fffff,,,,,,,,2,1,0.5
8919420c953ffff,,,,,,,,1,,0.2
891942546cfffff,,2,,,,,,5,,2.8
891942cd0c7ffff,1,3,,,,,,8,1,5.4
891943b28cbffff,,,,,,,,1,,0.2
89194ad338fffff,,5,,,,,,3,,5.1
891958855cbffff,,,,,,,,10,1,2.1
89195c05b17ffff,,,,,,,,5,,1
89195da499bffff,,1,,1,,,,10,1,3.8
8919733532bffff,,,,,,,,3,1,0.7
89182c78bb7ffff,1,,,,,,1,1,1,2.08
8919518017bffff,,,,,,,2,,,1.56
